id,model,category,keep
1M0855D,XUV 855D,turf,TRUE
1M0855E,XUV 855E,turf,TRUE
1M0855M,XUV 855M,turf,TRUE
1M0860,RSX 860,turf,TRUE
1M0865M,XUV 865M,turf,TRUE
1M0865R,XUV 865R,turf,TRUE
1M0HPX,HPX 4X4,turf,TRUE
1M0R860M,RSX 860M,turf,TRUE
1M0X300,X300,turf,TRUE
1M0X304,X304,turf,TRUE
1M0X310,X310,turf,TRUE
1M0X320,X320,turf,TRUE
1M0X324,X324,turf,TRUE
1M0X330,X330,turf,TRUE
1M0X350,X350,turf,TRUE
1M0X354,X354,turf,TRUE
1M0X360,X360,turf,TRUE
1M0X370,X370,turf,TRUE
1M0X380,X380,turf,TRUE
1M0X384,X384,turf,TRUE
1M0X390,X390,turf,TRUE
1M0X394,X394,turf,TRUE
1M0X500,X500,turf,TRUE
1M0X530,X530,turf,TRUE
1M0X534,X534,turf,TRUE
1M0X540,X540,turf,TRUE
1M0X570,X570,turf,TRUE
1M0X580,X580,turf,TRUE
1M0X584,X584,turf,TRUE
1M0X590,X590,turf,TRUE
1M0X710,X710,turf,TRUE
1M0X730,X730,turf,TRUE
1M0X734,X734,turf,TRUE
1M0X738,X738,turf,TRUE
1M0X739,X739,turf,TRUE
1M0X750,X750,turf,TRUE
1M0X754,X754,turf,TRUE
1M0X758,X758,turf,TRUE
1M0Z425,Z425,turf,TRUE
1M0Z445,Z445,turf,TRUE
1M0Z465,Z465,turf,TRUE
1M0Z645,Z645,turf,TRUE
1M0Z655,Z655,turf,TRUE
1M0Z665,Z665,turf,TRUE
1N00200,,,FALSE
1N00714,,,FALSE
1N01590,,,FALSE
1N02210,,,FALSE
1N02230,,,FALSE
1N02430,,,FALSE
1N02623V,,,FALSE
1N02660V,,,FALSE
1N0408R,408R,ag,TRUE
1N04023R,R4023,ag,TRUE
1N04030R,R4030,ag,TRUE
1N04038R,R4038,ag,TRUE
1N04044R,R4044,ag,TRUE
1N04045R,R4045,ag,TRUE
1N04060R,R4060,ag,TRUE
1N04365F,F4365,ag,TRUE
1N0D485N,,,FALSE
1P00,,,FALSE
1P0120R,,,FALSE
1P01745,,,FALSE
1P0220R,,,FALSE
1P0300E,,,FALSE
1P0300R,,,FALSE
1P0320R,,,FALSE
1P0440R,,,FALSE
1P0520M,,,FALSE
1P0540M,,,FALSE
1P0540R,,,FALSE
1P0600R,,,FALSE
1P0700M,,,FALSE
1P06105E,6105E,ag,TRUE
1P06120E,6120E,ag,TRUE
1P06135E,6135E,ag,TRUE
1P06140D,6140D,ag,TRUE
1P0620R,,,FALSE
1P0640R,,,FALSE
1P0660R,,,FALSE
1P0680R,,,FALSE
1P0A520R,A520R,ag,TRUE
1P0CX,,,FALSE
1P0D120,D120,turf,TRUE
1P0D160,D160,turf,TRUE
1P0D170,D170,turf,TRUE
1P0H,,,FALSE
1P0MX,,,FALSE
1PY3025D,3025D,turf,TRUE
1PY3035D,3035D,turf,TRUE
1PY3043D,3043D,turf,TRUE
1PY5045E,5045E,turf,TRUE
1PY5055E,5055E,turf,TRUE
1PY5065E,5065E,turf,TRUE
1PY5075E,5075E,turf,TRUE
1RW6145R,6145R,ag,TRUE
1RW6155R,6155R,ag,TRUE
1RW6170R,6170R,ag,TRUE
1RW6175R,6175R,ag,TRUE
1RW6195R,6195R,ag,TRUE
1RW6215R,6215R,ag,TRUE
1RW7210R,7210R,ag,TRUE
1RW7230R,7230R,ag,TRUE
1RW7270R,7270R,ag,TRUE
1RW7290R,7290R,ag,TRUE
1RW8245R,8245R,ag,TRUE
1RW8270R,8270R,ag,TRUE
1RW8295R,8295R,ag,TRUE
1RW8320R,8320R,ag,TRUE
1RW8345R,8345R,ag,TRUE
1RW8370D,8R 370,ag,TRUE
1RW8370R,8370R,ag,TRUE
1RW8400R,8400R,ag,TRUE
1RW9370R,9370R,ag,TRUE
1RW9420R,9420R,ag,TRUE
1RW9470R,9470R,ag,TRUE
1RW9520R,9520R Scraper,ag,TRUE
1RW9570R,9570R,ag,TRUE
1RW9620R,9620R,ag,TRUE
1T0312G,312G,cce,TRUE
1T0314G,314G,cce,TRUE
1T0316G,316GR,cce,TRUE
1T0317G,317G,cce,TRUE
1T0318E,318E,cce,TRUE
1T0318G,318G,cce,TRUE
1T0319E,319E,cce,TRUE
1T0320E,320E,cce,TRUE
1T0320G,320G,cce,TRUE
1T0323E,323E,cce,TRUE
1T0324E,324E,cce,TRUE
1T0324G,324G,cce,TRUE
1T0325G,325G,cce,TRUE
1T0330G,330G,cce,TRUE
1T0331G,331G,cce,TRUE
1T0332G,332G,cce,TRUE
1T0333G,333G,cce,TRUE
1T0A,,,FALSE
1T0B,,,FALSE
1T0C,,,FALSE
1T0D,,,FALSE
1T0G,,,FALSE
1T0H,,,FALSE
1T0M,,,FALSE
1T0P,,,FALSE
1T0R,,,FALSE
1T0S,,,FALSE
1T0T,,,FALSE
1T0V,,,FALSE
1T82014,,,FALSE
1T82412,,,FALSE
1TC1550,1550,turf,TRUE
1TC1560,1560,turf,TRUE
1TC1570,1570,turf,TRUE
1TC1572,1572,turf,TRUE
1TC1575,1575,turf,TRUE
1TC1580,1580,turf,TRUE
1TC1585,1585,turf,TRUE
1TC1600,1600,turf,TRUE
1TC202A,2020A,turf,TRUE
1TC60F,,,FALSE
1TC636M,636M,turf,TRUE
1TC648M,648M,turf,TRUE
1TC648R,648R,turf,TRUE
1TC652M,652M,turf,TRUE
1TC652R,652R,turf,TRUE
1TC661R,661R,turf,TRUE
1TC7295,,,FALSE
1TC72FLX,,,FALSE
1TC735E,Z735E,turf,TRUE
1TC740R,Z740R,turf,TRUE
1TC915B,Z915B,turf,TRUE
1TC915E,Z915E,turf,TRUE
1TC920M,Z920M,turf,TRUE
1TC920R,Z920R,turf,TRUE
1TC925A,Z925A,turf,TRUE
1TC925M,Z925M,turf,TRUE
1TC930M,Z930M,turf,TRUE
1TC930R,Z930R,turf,TRUE
1TC945M,Z945M,turf,TRUE
1TC950M,Z950M,turf,TRUE
1TC950R,Z950R,turf,TRUE
1TC955M,Z955M,turf,TRUE
1TC960M,Z960M,turf,TRUE
1TC960R,Z960R,turf,TRUE
1TC970R,Z970R,turf,TRUE
1TC994R,Z994R,turf,TRUE
1TC997R,Z997R,turf,TRUE
1TCDZ,,,FALSE
1TCMZ,,,FALSE
1TCW32AG,WG32A,turf,TRUE
1TCW36HL,WH36A,turf,TRUE
1TCW36HP,WHP36A,turf,TRUE
1TCW48,WH48A,turf,TRUE
1TCW52,WH52A,turf,TRUE
1TCW61HP,WHP61A,turf,TRUE
1TCZ997R,Z997R,turf,TRUE
1XF,,,FALSE
1Z09600,9600,ag,TRUE
1Z09700,9700,ag,TRUE
1Z0T670,T670,ag,TRUE
CD,,,FALSE
E0450M,,,FALSE
H0S770,S770,ag,TRUE
LV2025R,2025R,turf,TRUE
M00670,,,FALSE
M0X720,X720,turf,TRUE
P,,,FALSE
RG,,,FALSE
RWG,,,FALSE
SE4,,,FALSE
SE6,,,FALSE
SNU80041616018,NTB16,ag,TRUE
T0E,,,FALSE
T0RL84,,,FALSE
XE,,,FALSE
XF,,,FALSE
